,auteur
0,Le Parisien
1,"Victor Tassel, envoyé spécial à Echebrune (Charente-Maritime)"
2,S.L. (avec F.V.D.P.)
3,Nolwenn Cosson
4,S. Co. avec AFP
5,Juliette Duclos
6,David Livois
7,S.N.
8,Eric Le Mitouard
9,Nicolas Berrod
10,Le Parisien avec AFP
11,Thomas Segissement
12,Hendrik Delaire
13,E.B.
14,Sébastien Nieto
15,Christine Berkovicius
16,J.Cl. (avec AFP)
17,Sébastien Birden
18,sans auteur
19,Le Parisien avec AFP
20,Lou Garçon
21,Ronan Tésorière
22,sans auteur
23,sans auteur
24,Ch.G.
25,A.C.
26,S. Co. avec AFP
27,Nicolas Berrod
28,Le Parisien avec AFP
29,Julie Rimbert
30,Laurent Derouet
31,Pierre-Baptiste Vanzini
32,Élodie Soulié
33,J.Cl. avec AFP
34,Eric Bruna
35,Le Parisien
36,D.L.
37,Sylvain Merle
38,Le Parisien avec AFP
39,Julie Olagnol
40,Le Parisien avec AFP
41,Sylvain Deleuze
42,Stéphanie Forestier
43,sans auteur
44,C.L.
45,S. Co. avec AFP
46,Florent Hélaine
47,J.Cl.
48,Le Parisien avec AFP
49,Bertrand Métayer
50,Cécile Beaulieu
51,Le Parisien avec AFP
52,Marjorie Lenhardt
53,Le Parisien avec AFP
54,Michaël Zoltobroda
55,Valentine Rousseau
56,"Serge Pueyo, correspondant à Grenoble (Isère)"
57,sans auteur
58,Marion Kremp
59,D.D.
60,Gwenaëlle Loaëc
61,sans auteur
62,S. Co.
63,sans auteur
64,Marie Poussel
65,sans auteur
66,Renaud Baronian
67,sans auteur
68,S. Co. avec AFP
69,Émeline Collet
70,Aubin Laratte
71,Gwénaëlle Loaëc
72,Le Parisien avec AFP
73,Le Parisien avec AFP
74,J.Cl. avec AFP
75,N.Be.
76,Erwan Benezet
77,Le Parisien avec AFP
78,Victor Fortunato
79,Christophe Bérard
80,Hubert Prolongeau
81,Michaël Zoltobroda
82,Thomas Poupeau
83,Thomas Poupeau
84,Stéphane Bianchi
85,"Klervi Le Cozic, correspondante à Bordeaux (Gironde)"
86,Émilie Torgemen
87,Henri Vernet
88,Frédéric Mouchon
89,Aymeric Renou
90,Aymeric Renou
91,Le Parisien avec AFP
92,Le Parisien avec AFP
93,A.L. et S.C.
94,"Christophe Bérard, Frédéric Gouaillard, Laurent Pruneta (avec M.Z et K.B.)"
95,Le Parisien avec AFP
96,Christophe Bérard
97,"Louise Colcombet, envoyée spéciale à Reims (Marne)"
98,Le Parisien
99,Jila Varoquier
100,Le Parisien avec AFP
101,Le Parisien avec AFP
102,Guillaume Georges
103,Marie Poussel
104,J.L.
105,Olivier François
106,Le Parisien avec AFP
107,Denis Courtine
108,D.L. et V.M.
109,Catherine Gasté
110,Maxime François
111,J.L.
112,Le Parisien
113,Agnès Vives
114,Simon Gourru
115,F.V.D.P.
116,Valérie Mahaut
117,Juliette Duclos
118,Florence Méréo et Elsa Mari (avec Marcelo Wesfreid)
119,Le Parisien avec AFP
120,Benoît Daragon
121,Le Parisien avec AFP
122,H.M.
123,Eric Le Mitouard
124,Ma.P.
125,Alexandre Sulzer
126,Eric Le Mitouard
127,Fanny Delporte
128,Eric Le Mitouard
129,Victor Tassel
130,Fr. N.
131,Yves Jaeglé
132,Le Parisien avec AFP
133,Sébastien Morelli
134,Céline Carez
135,Thomas Segissement
136,Anne Collin
137,Valeria Dragoni
138,Le Parisien avec AFP
139,Maya Carrère
140,Sylvain Deleuze
141,Le Parisien
142,Damien Licata Caruso
143,Hendrik Delaire
144,Christine Henry
145,Ph.L. avec AFP
146,Anne-Sophie Damecour
147,N.Be.
148,Guillaume Georges
149,Hélène Haus (avec Alexandre Arlot)
150,Le Parisien avec AFP
151,Le Parisien
152,Nicolas Berrod et Ludwig Gallet
153,David Doukhan
154,Benjamin Derveaux
155,Le Parisien
156,Sébastien Blondé
157,l’équipe de Code source
158,Le Parisien avec AFP
159,Anne Collin
160,Philippe Baverel
161,Ju.M.
162,Juliette Duclos
163,Marjorie Lenhardt
164,A.L.
165,M.-A. G.
166,sans auteur
167,Ph.L. avec AFP
168,sans auteur
169,Cyril Simon
170,Denis Courtine
171,Le Parisien avec AFP
172,sans auteur
173,David Opoczynski
174,Le Parisien avec AFP
175,Elsa Mari et Florence Méréo
176,sans auteur
177,Bartolomé Simon
178,Hélène Haus
179,Pauline Théveniaud et Marcelo Wesfreid
180,A.L.
181,sans auteur
182,Le Parisien avec AFP
183,Le Parisien avec AFP
184,Le service Télévision
185,Marcelo Wesfreid
