,titre,jour_publication,auteur,categorie
0,"Lundi poésie : aujourd'hui, «je t’aime d’être rousse et pareille à l’automne»",2020/02/03,guillaume-lecaplain,Culture
1,"Face au «plan de paix» de Trump, l'union rare des Européens",2020/02/03,jean-quatremer,International
2,Les poissons sont mieux pêchés… mais rétrécissent,2020/02/03,coralie-schaub,Société
3,Paris : le vélo sort de la grève et entre en campagne,2020/02/03,julien-guillot,Société
4,"Coronavirus, réforme des retraites à l'Assemblée, Macron en Pologne... l'actu de ce lundi matin",2020/02/03,liberation,International
5,Un chewing gum qui fait grossir les seins ?,2020/02/03,agnes-giard,Idées et Débats
6,"Travail d’intérêt général : «Ce qui prévaut, c’est la pérennité des postes que nous proposons»",2020/02/03,donia-ismail,Société
7,Etats-Unis : tout comprendre aux primaires démocrates,2020/02/03,baptiste-bouthier,International
8,Le stage proposé par Manon Aubry est-il vraiment rémunéré «dans la fourchette haute» du Parlement ?,2020/02/03,emma-donada,CheckNews
9,Pour une recherche fondamentale publique et française,2020/02/03,emma-donada,Opinions
10,Le son du jour #423 : élevé comme Elephant Château,2020/02/03,olivier-lamm,Musique
11,Etats-Unis : «Personne ne sait quelle est la meilleure voie pour battre Trump»,2020/02/03,frederic-autran,International
12,Greffe d’utérus ou GPA ?,2020/02/03,genevieve-delaisi-de-parseval,Opinions
13,Réforme du bac : des épreuves qui ne passent pas,2020/02/03,genevieve-delaisi-de-parseval,Opinions
14,Congés pour le décès d’un enfant : l’éloquente boulette de Pénicaud,2020/02/03,laurent-joffrin,Politique
15,Le gilet jaune Eric Drouet a-t-il acheté une Jaguar ? ,2020/02/03,jacques-pezet,CheckNews
16,Epilogue de l'affaire Vincent Lambert : des médecins bien mal traités,2020/02/03,eric-favereau,Société
17,Affaire Mila : la lycéenne a-t-elle lancé une cagnotte pour financer un disque ?,2020/02/03,anais-condomines,CheckNews
18,Le rappeur français MHD est-il sorti de prison ?,2020/02/03,service-checknews,CheckNews
19,Radio France : la CGT «suspend» la grève,2020/02/03,jerome-lefilliatre,Société
20,Violences sexuelles dans le patinage français: la ministre demande la démission du président de la fédération,2020/02/03,afp,Société
21,Le candidat RN qui voulait former «les enfants au tir face aux islamistes»,2020/02/03,tristan-berteloot,Politique
22,Un peu de cogestion dans le capitalisme ?,2020/02/03,bruno-amable,Opinions
23,"«La Vallée de l’étrange», salades d’automate",2020/02/03,bruno-amable,Scènes
24,Ce «plan de paix» qui prépare l’apartheid,2020/02/03,bruno-amable,Opinions
