,titre,jour_publication,auteur,categorie
0,"A Canal + et CNews, silence radio chez les journalistes",2021/02/03,adrien-franque,Economie
1,«Voracisme» : «Pourquoi ce ne sont pas les Blancs qui font la plonge…»,2021/02/03,kim-hullot-guiot,Société
2,Internat pour les enfants : «Il est pensé pour les familles qui ont besoin d’aide»,2021/02/03,marie-piquemal,Société
3,Jeu de milliards à trois bandes pour les médias de Lagardère,2021/02/03,jerome-lefilliatre,Economie
4,"La présence du virus dans les eaux usées en Ile-de-France a-t-elle baissé, comme l’affirme Véran ?",2021/02/03,luc-peillon,CheckNews
5,La fabrique des «discriminations ressenties»,2021/02/03,luc-peillon,Tribunes
6,"Aux pieds d’Omar Sy dans «Lupin», les Air Jordan 1 suscitent un assaut de clics",2021/02/03,balla-fofana,Lifestyle
7,"Macron sur le planning de vaccination, procès de l’affaire Karachi, les experts de l’OMS au laboratoire de Wuhan… l’actu de ce mercredi matin",2021/02/03,afp,International
8,"A Marseille, Payan étrille la gestion Gaudin",2021/02/03,stephanie-harounyan,Politique
9,La famille Berry se déchire autour d’accusations d’inceste ,2021/02/03,afp,Société
10,En direct - Covid-19 : la Suisse demande de «nouvelles études» sur le vaccin AstraZeneca ,2021/02/03,afp,Société
11,"«Ma maman est bizarre» et tout va bien, merci",2021/02/03,afp,Culture
12,Italie : Mario Draghi chargé de former un gouvernement,2021/02/03,eric-jozsef,International
13,«Il sera très difficile pour Joe Biden de revenir sur l’embargo contre Cuba»,2021/02/03,francois-xavier-gomez,International
14,Jeff Bezos va céder les commandes d’Amazon pour se consacrer à ses rêves de milliardaire,2021/02/03,lucie-ronfaut,Economie
15,La France garde-t-elle trop de doses de vaccin en stock?,2021/02/03,pauline-moullot,CheckNews
16,Affaire du siècle : un premier pas symbolique pour le climat,2021/02/03,coralie-schaub,Environnement
17,"A la Cinetek, Chantal Akerman en toutes directions ",2021/02/03,luc-chessel,Culture
18,Bouffons la vie : l’omelette de 17h53,2021/02/03,kim-hullot-guiot,Lifestyle
19,"Dino Saluzzi, enfant de solo ",2021/02/03,jacques-denis,Culture
20,"Croyez-le, Griveaux veut être plus présent à l’Assemblée",2021/02/03,sylvain-chazot,Politique
21,Radioscopie d’une vie de médecin de montagne,2021/02/03,fabrice-drouzy,Culture
22,Affaire Paty : pourquoi Gérald Darmanin a-t-il annoncé la réouverture de la mosquée de Pantin... puis supprimé son tweet ?,2021/02/03,paola-guzzo,CheckNews
23,Benoît Hamon de retour en politique… sur une liste écologiste,2021/02/03,sacha-nelken,Politique
24,Le «sauveur» Mario Draghi entre dans l’arène italienne,2021/02/03,eric-jozsef,International
25,"Bruno David : «En éradiquant nombre d’espèces sauvages, les humains deviennent la cible privilégiée des virus»",2021/02/03,catherine-calvet,Idées et Débats
26,«Voracisme» : les rapports de domination par le menu,2021/02/03,kim-hullot-guiot,Société
27,"Cambriolage à Saint-Etienne : «Ça vient d’une organisation terroriste, on ne parle pas d’un programme Disney Channel !»",2021/02/03,kim-hullot-guiot,Société
28,Jeux olympiques : Tokyo s’empare de la bulle,2021/02/03,romain-boulho,Sports
29,"Moussa, cuisinier sans papiers victime de son patron niçois qui voulait ouvrir son resto malgré tout",2021/02/03,mathilde-frenois,Société
30,"Sécurité globale : Oups, Darmanin reconnaît «quelques erreurs» ",2021/02/03,chez-pol,Politique
31,Etudiants sénégalais en France : un mal-être tabou ,2021/02/03,marie-piquemal,Education
32,Diary Sow : un retour trop bien écrit ?,2021/02/03,anne-sophie-faivre-le-cadre,International
33,"L’Affaire du siècle, c’est l’affaire de qui ?",2021/02/03,coralie-schaub,Environnement
34,"Agnieszka Holland, plan transit à Paris",2021/02/03,coralie-schaub,Culture
35,Yannick Jadot veut relancer sa campagne verte,2021/02/03,charlotte-belaich,Politique
36,«La pandémie aggrave la politique menée dans les centres de rétention administrative»,2021/02/03,gurvan-kristanadjaja,Société
37,"Au local de rétention administrative de Choisy-le-Roi, des conditions attentatoires à la «dignité de la personne»",2021/02/03,tomas-statius,Société
38,"Dans le lycée de Diary Sow, au Sénégal : «Ici, on n’a pas de moyens, mais on a de la volonté»",2021/02/03,anne-sophie-faivre-le-cadre,International
39,«Mettre systématiquement l’accent sur la “race” néglige les appartenances multiples des individus»,2021/02/03,thibaut-sardier,Idées et Débats
40,"Cinéma : les Golden Globes se féminisent, oublient les meilleures et offrent un boulevard aux plateformes",2021/02/03,service-culture,Culture
41,Viols au Xinjiang : écoutons les Ouïghoures,2021/02/03,laurence-defranoux,International
42,Manaus asphyxié par le Covid,2021/02/03,laurence-defranoux,International
43,"La Défense : une camionnette fonce sur des passants, un mort et un blessé",2021/02/03,afp,Société
44,"Magali Laurent, remuer ciel et mère",2021/02/03,luc-mathieu,Portraits
45,Vaccins : Macron met la dose,2021/02/03,charlotte-chaffanjon,Politique
46,"«Ady», une muse noire dans l’épopée surréaliste",2021/02/03,frederique-fanchette,Culture
47,"Macron veut accélérer sur les vaccins, Draghi chargé de former un gouvernement en Italie, l’Etat français condamné dans «l’affaire du siècle»... L’actu de ce mercredi",2021/02/03,afp,International
48,Migrants : le Conseil d’Etat valide l’éloignement des journalistes lors des évacuations,2021/02/03,liberation,Economie
49,"Birmanie : après le coup d’Etat, le coup de farce judiciaire",2021/02/03,arnaud-vaulerin,International
50,Paris : la création d’un centre d’archives LGBTQI bientôt acté ?,2021/02/03,florian-bardou,Société
51,Vaccins : la France veut sous-traiter pour mieux traiter,2021/02/03,pauline-achard,Economie
52,"Gérardmer, l’éclate fantastique",2021/02/02,leo-soesanto,Culture
53,«Séparatisme» : un tournant pour la loi de 1905,2021/02/02,bernadette-sauvaget,Société
54,"Marseille : «On aime ce club, mais pas au point de faire des violences ou des dégradations»",2021/02/02,stephanie-harounyan,Société
55,"Navalny devant la justice russe, allongement de la trêve hivernale, la PMA pour toutes au Sénat… l'actu de ce mardi matin",2021/02/02,liberation,Société
56,Le personnel de la mairie de Paris a-t-il bénéficié de passe-droits de vaccination à l’Hôtel-Dieu ? ,2021/02/02,anais-condomines,CheckNews
57,"«Vieillir enfermés», un documentaire poignant",2021/02/02,eric-favereau,Société
58,"Brésil : 72 heures à Manaus, «capitale mondiale du Covid»",2021/02/02,chantal-rayes,International
59,"Domaines de chasse : en Sologne, les grillages de la discorde",2021/02/02,victor-boiteau,Environnement
60,La PMA pour toutes (sans remboursement) fait son retour devant le Sénat,2021/02/02,florian-bardou,Société
61,"Le rhombe, instrument de musique ou arme sexuelle ? ",2021/02/02,agnes-giard,Idées et Débats
62,Vaccin Covid-19 : que valent les annonces israéliennes sur la baisse du risque d’infection? ,2021/02/02,florian-gouthiere,CheckNews
63,En direct - Les premiers résultats sur la présence des variants en Ile-de-France «ne sont pas bons»,2021/02/02,liberation,Société
64,Covid-19 : vers un dépistage systématique des variants en cas de test PCR positif,2021/02/02,emma-donada,CheckNews
65,"A l'Opéra-Comique, «nous ne gaspillons pas nos places, nous optimisons»",2021/02/02,guillaume-tion,Culture
66,"Faute de spectacles, France Télé propose de la culture en boîte",2021/02/02,guillaume-tion,Culture
67,Ces députés qui ne veulent pas plus d’argent,2021/02/02,chez-pol,Politique
68,Bouffons la vie : a lotte of saveurs ,2021/02/02,jacky-durand,Lifestyle
69,"Précarité énergétique : «Les journées où il pleut tout le temps, c’est un peu l’enfer»",2021/02/02,elsa-maudet,Société
70,"Google aligne 3,8 millions de dollars pour compenser des discriminations salariales",2021/02/02,marlene-thomas,Amérique
71,"Bolloré, objectif 2022 ",2021/02/02,jerome-lefilliatre,Economie
72,En direct - Covid-19 : Emmanuel Macron promet un vaccin pour «tous les Français» «d’ici la fin de l’été»,2021/02/02,sans auteur,Société
73,"Visé par plusieurs accusations de viol et harcèlement, Marilyn Manson remercié par son label",2021/02/02,afp,Culture
74,"Sécurité, efficacité : que nous apprend l’étude du «Lancet» sur le vaccin russe Spoutnik V ?",2021/02/02,florian-gouthiere,CheckNews
75,Ségolène Royal se voit bien au Sénat,2021/02/02,sebastien-tronche,Politique
76,Loi «séparatisme» : LR ressort ses ficelles sécuritaires,2021/02/02,dominique-albertini,Politique
77,Qui peut proposer un candidat pour le prix Nobel ?,2021/02/02,romain-metairie,International
78,Réinfection au Covid-19 : nouvelle mutation préoccupante du variant anglais,2021/02/02,olivier-monod,Société
79,"Alexia Barrier sur le Vendée Globe : «Au cap Horn, j’ai navigué sous les jupes du diable»",2021/02/02,sans auteur,Sports
80,Salaire minimum aux Etats-Unis : Biden joue l’argent double,2021/02/02,isabelle-hanne,Economie
81,Guyotat: écrire entre ciel et terre,2021/02/02,isabelle-hanne,Culture
82,Covid et fermeture des écoles : quand les parents seront-ils entendus ?,2021/02/02,isabelle-hanne,Idées et Débats
83,OM : le coach Villas-Boas mis à pied,2021/02/02,gregory-schneider,Sports
84,Fermeture de 57 Flunch : 1244 emplois menacés,2021/02/02,stephanie-maurice,Economie
85,Cette vidéo d’une séance d’aérobic sur fond de coup d’Etat en Birmanie est-elle authentique ?,2021/02/02,fabien-leboucq,CheckNews
86,Rémi Salomon : «La nouvelle enquête sur les variants du Covid-19 montre une tendance inquiétante» ,2021/02/02,julie-richard,Société
87,"Matzneff, cynique jusqu’au bout ? ",2021/02/02,frederique-roussel,Livres
88,Alexeï Navalny : du sursis à la prison ferme ,2021/02/02,veronika-dorman,International
89,Alexandria Ocasio-Cortez raconte son invasion du Capitole,2021/02/02,sans auteur,International
90,"Après le coup d’Etat, la Birmanie s’essaye à la désobéissance civile",2021/02/02,arnaud-vaulerin,International
91,"Nous, enseignants, sommes trop seuls pour toutes ces batailles",2021/02/02,arnaud-vaulerin,Idées et Débats
92,"A Paris, nouvelle manif féministe contre le retour de Christophe Girard",2021/02/02,sacha-nelken,Politique
93,"Feu vert pour un troisième vaccin en France, Navalny condamné à la prison, le coach de l’OM mis à pied: l’essentiel de l’actualité de ce mardi",2021/02/02,liberation,International
94,"A Genève, la Libye se refait faire les visages",2021/02/02,celian-mace,International
95,La HAS ne recommande pas le vaccin AstraZeneca aux plus de 65 ans,2021/02/02,anais-moran,Société
96,Un modèle de l’épidémie de Covid-19 mis en ligne par des chercheurs français,2021/02/02,olivier-monod,Société
97,"Bruno Questel, l’heure de parler",2021/02/02,laure-equy,Politique
98,Droits télé du foot : simple coup de bluff ou arrêt de jeu définitif ?,2021/02/02,adrien-franque,Economie
99,"«Rohwedder», les mystères de l’Est",2021/02/02,guillaume-tion,Culture
100,«Gengis Khan» Bolloré,2021/02/02,alexandra-schwartzbrod,Economie
101,Affaire Karachi : prison avec sursis requise contre Balladur et Léotard,2021/02/02,laurent-leger,Société
102,"A Toulouse, la politique de la friche brûlée",2021/02/02,annabelle-martella,Culture
103,"Lundi poésie : aujourd'hui, «les bêtes inhabitées qu’on aime»",2021/02/01,guillaume-lecaplain,Culture
104,"Coup d'Etat en Birmanie, loi «séparatisme», arrestations de manifestants en Russie… L'actu de ce lundi matin",2021/02/01,liberation,International
105,"Coup d'Etat militaire en Birmanie, Aung San Suu Kyi arrêtée",2021/02/01,liberation,International
106,«Le revenu universel s'invite dans les réponses des Français» ,2021/02/01,liberation,Forums
107,En direct - Pas de ski en février : les remontées mécaniques resteront fermées,2021/02/01,liberation,International
108,Bioplastiques : à prendre ou à jeter ?,2021/02/01,sophie-kloetzli,Environnement
109,"En Birmanie, un coup d'Etat et une fuite en avant de l'armée",2021/02/01,arnaud-vaulerin,International
110,Bouffons la vie : un velouté de potimarron à la châtaigne,2021/02/01,kim-hullot-guiot,Gastronomie
111,Agents Pôle Emploi : «On est une sorte de tampon social»,2021/02/01,jean-francois-gerard,Société
112,"A Roissy, des voyageurs dans une situation «kafkaïenne»",2021/02/01,juliette-delage,Société
113,Les chiffres officiels des hospitalisations liées au Covid-19 sont-ils gonflés ?,2021/02/01,pauline-moullot,CheckNews
114,"Centrafrique : entre les Casques bleus et les mercenaires russes, un flirt à haut risque",2021/02/01,pauline-moullot,International
115,«Le quoi qu'il en coûte ne s'est pas appliqué aux plus fragiles»,2021/02/01,liberation,Forums
116,Les températures en France pourraient fortement augmenter à la fin du siècle ,2021/02/01,sacha-nelken,Environnement
117,"A LFI, on pense déjà à l'après-défaite de Mélenchon",2021/02/01,chez-pol,Politique
118,"Parmi les décès liés au coronavirus, combien de Covid «confirmés» et combien de «suspectés» ?",2021/02/01,luc-peillon,CheckNews
119,"Black Lives Matter, Zineb El Rhazoui ou les scouts sont-ils vraiment «nommés» pour le prix Nobel de la paix 2021 ?",2021/02/01,jacques-pezet,CheckNews
120,Loi séparatismes : la droite ressort le «délit d'entrave» sur les campus,2021/02/01,olivier-monod,Société
121,"En Inde, un lent retour à une vie normale et l'espoir d'une immunité collective",2021/02/01,sebastien-farcis,International
122,"En Pologne, c'est la recherche sur la Shoah qu'on veut réduire au silence",2021/02/01,sebastien-farcis,Idées et Débats
123,On ne désobéit pas à un virus,2021/02/01,albert-ogien,Idées et Débats
124,"En Birmanie, stupeur et désarroi après le coup d'Etat de l'armée",2021/02/01,carol-isoux,International
125,Violences policières : les supérieurs hiérarchiques doivent aussi rendre des comptes,2021/02/01,carol-isoux,Idées et Débats
126,"Trégor et grand dehors, cartographie partagée avec Michel Le Bris",2021/02/01,luc-le-vaillant,Idées et Débats
127,Candomblé : embrasez-vous,2021/02/01,jacques-denis,Culture
128,"Clou, Claire obscure",2021/02/01,gilles-renault,Culture
129,"Nahawa Doumbia, la voix active",2021/02/01,jacques-denis,Culture
130,"«The Mystery of Sculpting Cats», la faune et la forme",2021/02/01,judicael-lavrador,Arts
131,"Cecilia Mangini, docu mater",2021/02/01,diane-lisarelli,Cinéma
132,"Que sait-on de l’étude de Stanford, présentée comme la preuve de l’inutilité du confinement ?",2021/02/01,florian-gouthiere,CheckNews
133,Délit d'entrave à la fonction d'enseignant : «Ce serait bien de nommer ce type d’infractions» ,2021/02/01,marlene-thomas,Société
134,Exister pour survivre face aux nouveaux variants,2021/02/01,marlene-thomas,Idées et Débats
135,N’enfermons plus nos vieux,2021/02/01,francis-carrier,Idées et Débats
