,titre,jour_publication,auteur,categorie
0,Une robe zéro déchet :  merci patron !,2020/12/04,fanny-guyomard,Mode
1,Le show du «talk»,2020/12/04,balla-fofana,Lifestyle
2,Boîtes à aider,2020/12/04,kim-hullot-guiot,Société
3,Singeries,2020/12/04,kim-hullot-guiot,Lifestyle
4,"A Singapour, les faux filets bientôt dans l’assiette",2020/12/04,kim-hullot-guiot,International
5,Nature,2020/12/04,alexandra-schwartzbrod,Editorial
6,Florence Burgat : «La viande de synthèse répond aux contradictions contemporaines»,2020/12/04,sonya-faure,Idées et Débats
7,"Jocelyne Porcher : «Il existe une autre voie, c’est l’élevage paysan»",2020/12/04,sonya-faure,Idées et Débats
8,La recherche sur la viande artificielle prend chair,2020/12/04,aurelie-delmas,Environnement
9,Quand Macron se débat sur son bilan écolo,2020/12/04,victor-boiteau,Société
10,Femmes victimes de violences : il faut surtout accueillir leur parole,2020/12/04,virginie-ballet,Société
11,"Sur les sujets qui fâchent, Macron va chez Brut pour répliquer tous azimuts",2020/12/04,alain-auffray,Société
12,Emotion dans un village du Lot après la mort d’un habitant tué par un chasseur,2020/12/04,stephane-thepot,Société
13,"«Modernisateur», «européen», «distingué»... les politiques célèbrent VGE ",2020/12/03,victor-boiteau,Société
14,"Macron, un Président et deux enterrements ",2020/12/03,lilian-alemagna,Politique
15,Etre né sous Giscard…,2020/12/03,jonathan-bouchet-petersen,Politique
16,"Mort de VGE, stratégie vaccins, procès Le Scouarnec... L'actu de ce jeudi matin",2020/12/03,liberation,International
17,Tests antigéniques au lycée : «Je sens que je vais faire un malaise»,2020/12/03,cecile-bourgneuf,Société
18,"Malgré son isolement croissant, Trump persiste",2020/12/03,isabelle-hanne,International
19,Dans l'enfer de Vukovar,2020/12/03,alexandra-schwartzbrod,Livres
20,"A Biarritz, le nom du quartier de «la Négresse» au centre d'un procès",2020/12/03,alexandra-schwartzbrod,Société
21,L’hommage de Macron à VGE : un «20 heures» comme pour Chirac  ,2020/12/03,laure-bretton,Société
22,"Ligue des champions : en battant Manchester, le PSG remet ses pendules à l'heure",2020/12/03,gregory-schneider,Sports
23,Valéry Giscard d’Estaing en cinq dates,2020/12/03,victor-boiteau,Société
24,Parc de La Courneuve : on dépollue en esquivant les crapauds,2020/12/03,aurore-coulaud,Environnement
25,"A droite, un giscardisme sans postérité ?",2020/12/03,dominique-albertini,Société
26,"Covid-19 : l’Etat français a-t-il acheté du remdésivir ?
",2020/12/03,florian-gouthiere,CheckNews
27,"VGE, père du tout-nucléaire français  ",2020/12/03,margaux-lacroux,Environnement
28,Covid-19 : les Etats-Unis dans le rouge avec plus de 100 000 hospitalisations,2020/12/03,juliette-delage,International
29,VGE et les femmes ou le règne du fantasme,2020/12/03,sans auteur,Société
30,"VGE, le président collectionneur de châteaux ",2020/12/03,aurore-savarit-lebrere,Société
31,"Economie : avec Giscard, il fallait «que tout change pour que rien ne change»",2020/12/03,jean-christophe-feraud,Société
32,"VGE, un porte-bonheur pour la gauche du «non»",2020/12/03,lilian-alemagna,Société
33,"Giscard, un septennat d’affaires",2020/12/03,laurent-leger,Société
34,Tu mitonnes : tomates à la une,2020/12/03,jacky-durand,Gastronomie
35,"En Roumanie, des législatives sur fond de lutte anticorruption",2020/12/03,nelly-didelot,International
36,La scolarisation obligatoire est-elle constitutionnellement possible ?,2020/12/03,cecile-bourgneuf,Société
37,"Jacques Pasquier : «VGE, pour moi, c'est le carcan»",2020/12/03,olivier-lamm,Culture
38,"Avec Jimmy Lai, la liberté de la presse menottée à Hongkong",2020/12/03,laurence-defranoux,International
39,Les masques FFP2 sont-ils encore interdits à la vente au grand public en France ?,2020/12/03,laurence-defranoux,CheckNews
40,"Noelly, élève sourde de 7 ans : «Avec le masque, je ne comprends pas tout ce que mes copines disent»",2020/12/03,elsa-maudet,Société
41,Georgette Leblanc à la rencontre d'Emma Bovary,2020/12/03,elsa-maudet,Livres
42,"A Estaing, pas de larmes mais les souvenirs d'un VGE veillant au grain",2020/12/03,sarah-finger,Société
43,Nucléaire iranien : le grand marchandage a commencé,2020/12/03,pierre-alonso,International
44,"Mort de Hugh Keays-Byrne, supervilain inoubliable de «Mad Max»",2020/12/03,lelo-jimmy-batista,Cinéma
45,"Avec le français facile, «on se sert de la matière grise de personnes déficientes intellectuelles»",2020/12/03,elsa-maudet,Société
46,"Giscard est mort, vive Godard !",2020/12/03,camille-nevers,Culture
47,"Santé et dérèglement climatique, les crises convergentes",2020/12/03,aurelie-delmas,Environnement
