,titre,jour_publication,categorie
0,Palmarès des meilleures ventes littéraires : Epidémie de pandémie,2021/03/01,Culture
1,Affaires des écoutes : Nicolas Sarkozy condamné à trois ans de prison dont un an ferme,2021/03/01,Politique
2,"Courrier des lecteurs : Eric Zemmour, Covid, Alsace...",2021/03/01,Actualité
3,"En Floride, les militants galvanisés par le retour de Donald Trump en public",2021/03/01,Amerique du Nord
4,"Affaire des ""écoutes"": Nicolas Sarkozy condamné à de la prison ferme pour corruption",2021/03/01,Société
5,"Nicolas Sarkozy coupable de ""corruption"" : tout comprendre à l'affaire ""des écoutes""",2021/03/01,Politique
6,"Hospitalisé, le prince Philip, 99 ans, transféré pour des examens cardiaques",2021/03/01,Monde
7,Foot: perquisitions et interpellations au FC Barcelone,2021/03/01,Actualité
8,"Affaire des ""écoutes"": Nicolas Sarkozy condamné à 3 ans de prison dont un ferme pour corruption",2021/03/01,Société
9,Coronavirus: premier vaccin grâce au Covax au Ghana,2021/03/01,Monde
10,"""Dating"", désamour, scandales... Facebook, un réseau social qui a bien changé",2021/03/01,Medias
11,Pourquoi d'inquiétants variants du SARS-CoV-2 se multiplient-ils depuis septembre ?,2021/03/01,Sciences
12,"Foot: plusieurs ""arrestations"" après les perquisitions au FC Barcelone",2021/03/01,Actualité
13,Frontière Moselle/Allemagne: test de moins de 48 heures obligatoire dès mardi,2021/03/01,Société
14,Appel de 442 parlementaires européens contre la colonisation israélienne,2021/03/01,Monde
15,"Nouvelles manifestations en Arménie, où la crise s'aggrave",2021/03/01,Monde
16,"Bleus, la course à l'Euro: Upamecano double face, Lemar et Dembélé plein écran",2021/03/01,Actualité
17,"Shelomo Selinger, sauvé par la sculpture",2021/03/01,Société
18,Coronavirus: le point sur la pandémie dans le monde,2021/03/01,Monde
19,"Covid-19: Macron demande de tenir ""encore quatre à six semaines""",2021/03/01,Société
20,Yuval Noah Harari : Les leçons d'un an de Covid,2021/03/01,Idées et Débats
21,"Les tests salivaires à l'école réalisés par des ""personnels de santé"", assure Blanquer",2021/03/01,Société
22,"Pour la première fois dans l'Histoire, un pape en Irak",2021/03/01,Monde
23,Hong Kong: des centaines de personnes rassemblées en soutien aux opposants inculpés,2021/03/01,Monde
24,"Virus: le Royaume-Uni vaccine fort, l'UE attend le vaccin Johnson & Johnson",2021/03/01,Monde
25,"Macron appelle à ""tenir 4 à 6 semaines"", le programme Covax lancé... Le point sur la pandémie",2021/03/01,Monde
26,"Birmanie: Suu Kyi de nouveau inculpée, tirs sur des manifestants au lendemain d'une répression meurtrière",2021/03/01,Monde
27,"Covid: Macron demande de ""tenir"" encore ""4 à 6 semaines"" avant des assouplissements",2021/03/01,Société
28,Nicolas Bouzou : L'étrange défaite (vaccinale),2021/03/01,Economie
29,"Ces élus de droite chez qui la ""magie"" Macron n'opère plus",2021/03/01,Politique
30,"Plan de relance: 26 milliards d'euros déployés, Bercy veut ""accélérer""",2021/03/01,Société
31,Ngozi déjà à la tâche pour son premier jour à l'OMC,2021/03/01,Monde
32,Zones sans contrôle d'identité : la Défenseure des droits face à la colère de Macron,2021/03/01,Politique
33,"Prolonger les réacteurs nucléaires, avec quel argent ?",2021/03/01,Economie
34,"Cannabis : après six mois d'existence, quel bilan pour l'amende forfaitaire ?",2021/03/01,Société
35,Rixes entre jeunes: le gouvernement veut prendre le phénomène à bras le corps,2021/03/01,Société
36,"Un confinement de Paris seul serait ""inefficace"", juge Belliard",2021/03/01,Société
37,"Comment Jumia compte devenir ""l'Amazon africain""",2021/03/01,Economie
38,"Hong Kong: l'activiste pro-démocratie ""Mamie Wong"" entend poursuivre son combat",2021/03/01,Monde
39,Covid-19 : quatre questions sur la vaccination des Palestiniens,2021/03/01,Proche et Moyen-Orient
40,Le président ghanéen reçoit la première injection de vaccin Covax dans le monde,2021/03/01,Monde
41,Emmanuel Faber joue sa place à la tête de Danone,2021/03/01,Société
42,La population carcérale en hausse avec 63.802 détenus au 1er février,2021/03/01,Société
43,"Des pillages en Papouasie après le décès du ""Père de la Nation""",2021/03/01,Monde
44,"MLS: Beckham promet de grandes signatures pour l'Inter Miami, n'excluant pas Messi ou Ronaldo",2021/03/01,Actualité
45,"Législatives au Salvador: Bukele crie ""victoire"" après les premiers résultats",2021/03/01,Monde
46,"Ngozi Okonjo-Iweala, la femme qui veut redonner de la crédibilité à l'OMC",2021/03/01,Monde
47,Trump flirte avec l'idée de se représenter en 2024,2021/03/01,Monde
48,Adolescent tué à Bondy: deux frères présentés à un juge,2021/03/01,Société
49,"Covid-19 : à New York, un nouveau variant suscite l'inquiétude des autorités",2021/03/01,Amerique du Nord
50,L1: l'OM contrarie Lyon,2021/02/28,Actualité
51,"Birmanie: la junte intensifie sa répression contre les manifestations, huit morts",2021/02/28,Monde
52,"A Paris, derniers ""p'tits bonheurs"" avant un ""confinement inéluctable""",2021/02/28,Société
53,Nouvelle-Calédonie: Lecornu pour un nouveau statut en cas de non au référendum sur l'indépendance,2021/02/28,Société
54,Thaïlande: balles en caoutchouc et canons à eau contre des manifestants pro-démocratie,2021/02/28,Monde
