,titre,jour_publication,categorie
0,"Soudan: fin de la mission de l'ONU au Darfour, craintes de violences",2020/12/31,Monde
1,"Relance et vaccin: Macron espère au printemps 2021 ""un nouveau matin français""",2020/12/31,Société
2,"Macron promet qu'il n'y aura pas lenteur ""injustifiée"" dans la vaccination",2020/12/31,Société
3,"Brexit: à Douvres, nervosité et espoir à l'approche de la rupture",2020/12/31,Société
4,"Trump, fin 2020: golf, tweets et colères",2020/12/31,Monde
5,"Yémen: le gouvernement promet de ""rétablir la stabilité"" après une attaque meurtrière",2020/12/31,Monde
6,"Après une année sombre, les forces de l'ordre sur le qui-vive pour un réveillon sous couvre-feu",2020/12/31,Société
7,"Covid-19: près de 20.000 nouveaux cas, 252 décès",2020/12/31,Société
8,"Consultation, recueil du consentement... La stratégie de vaccination remise en cause",2020/12/31,Santé
9,"Covid-19 : Olivier Véran promet que la campagne de vaccination va ""accélérer""",2020/12/31,Santé
10,Vendée Globe: Bestaven fond sur le cap Horn,2020/12/31,Actualité
11,Des voeux sans cotillons pour Macron,2020/12/31,Société
12,"Covid-19: les soignants de 50 ans et plus pourront être vaccinés ""dès lundi""",2020/12/31,Société
13,"Savoie Mont Blanc ""exige"" du gouvernement une date d'ouverture de la saison de ski",2020/12/31,Société
14,"Mort de Robert Hossein, ""prince du théâtre populaire""",2020/12/31,Société
15,Covid-19 : le variant identifié en Afrique du Sud pour la première fois détecté en France,2020/12/31,Santé
16,"Taxes américaines sur des produits européens : ""Ce conflit commercial est parti pour durer""",2020/12/31,Economie
17,Pas de trêve des confiseurs dans le bras de fer commercial entre Etats-Unis et Européens,2020/12/31,Société
18,"Accord UE-Chine : les Ouïghours, grands perdants des négociations ?",2020/12/31,Asie
19,L1: le bonheur est sur le pré pour Domenech à Nantes,2020/12/31,Actualité
20,Castex rencontre Déby au Tchad avant un réveillon avec les troupes françaises,2020/12/31,Société
21,Covid-19: premier cas détecté en France du variant sud-africain,2020/12/31,Société
22,Récap 2020 : Didier Raoult en six prédictions... vite contredites,2020/12/31,Sciences
23,"Smic, retraite, impôts... Ce qui change pour vous le 1er janvier 2021",2020/12/31,Conso-budget
24,Covid-19 : que sait-on du premier vaccin approuvé par la Chine ?,2020/12/31,Sciences
25,"Eric Chol : 2020, avant le monde d'après",2020/12/31,Politique
26,Le livre éco de la semaine en VO : Les vertus d'un bon mariage,2020/12/31,Economie
27,Dix bonnes nouvelles à retenir de l'année 2020 (malgré tout),2020/12/31,Monde
28,"Vaccination : l'Académie de médecine critique le démarrage ""très lent"" de la campagne",2020/12/31,Santé
29,"Cinq questions sur le fichier de données ""SI Vaccin Covid""",2020/12/31,Santé
30,"Covid-19: à Roissy-Charles-de-Gaulle, la crainte d'une ""catastrophe sociale""",2020/12/31,Société
31,"De 2016 à 2020, récit des folles années du Brexit",2020/12/31,Europe
32,Coronavirus: le point sur la pandémie,2020/12/31,Monde
33,"Armée mobilisée, centres géants... La recette allemande pour vacciner plus vite que nous",2020/12/31,Europe
34,"Robert Hossein, deus ex machina du spectacle populaire",2020/12/31,Société
35,Le comédien et metteur en scène Robert Hossein est mort à 93 ans,2020/12/31,Cinéma
36,Mort du comédien et metteur en scène Robert Hossein,2020/12/31,Société
37,"Voeux : comment de Gaulle, Mitterrand et les autres enterrèrent leur année maudite",2020/12/31,Politique
38,"Chengdu, ""capitale gay de la Chine"", ne rentrera pas au placard",2020/12/31,Monde
39,"Droits de douane américains: Airbus regrette une escalade ""contre-productive""",2020/12/31,Société
40,Vaccination contre le Covid-19 : que font les Ehpad confrontés aux réticences des résidents?,2020/12/31,Sciences
41,Comment les forces de l'ordre s'organisent pour la surveillance du Nouvel An,2020/12/31,Société
42,"Covid-19: ""envolée"" des tests la semaine de Noël",2020/12/31,Société
